attack,length,anchor_len,weight_preset,decoder,n,mean_hit_rate,mean_ber,exact_rate,crc_pass_rate
insert5,100,6,loose_gap,syncmark_position_vote,19,0.5789473684210527,0.42105263157894735,0.0,0.0
insert5,150,6,anchor_heavy,syncmark_alignment,19,0.5986842105263158,0.4013157894736842,0.0,0.10526315789473684
insert5,150,6,anchor_heavy,syncmark_position_vote,19,0.5460526315789473,0.45394736842105265,0.0,0.05263157894736842
insert5,150,6,current,syncmark_alignment,19,0.5921052631578947,0.4078947368421053,0.0,0.10526315789473684
insert5,150,6,current,syncmark_position_vote,19,0.5460526315789473,0.45394736842105265,0.0,0.05263157894736842
insert5,150,6,default,syncmark_alignment,19,0.6151315789473685,0.3848684210526315,0.05263157894736842,0.15789473684210525
insert5,150,6,default,syncmark_position_vote,19,0.5460526315789473,0.45394736842105265,0.0,0.05263157894736842
insert5,150,6,loose_gap,syncmark_alignment,19,0.6578947368421053,0.3421052631578947,0.0,0.05263157894736842
insert5,150,6,loose_gap,syncmark_position_vote,19,0.5460526315789473,0.45394736842105265,0.0,0.05263157894736842
mixed10,50,6,anchor_heavy,syncmark_alignment,19,0.5657894736842105,0.4342105263157895,0.0,0.05263157894736842
mixed10,50,6,anchor_heavy,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.0
mixed10,50,6,current,syncmark_alignment,19,0.5592105263157895,0.4407894736842105,0.05263157894736842,0.0
mixed10,50,6,current,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.0
mixed10,50,6,default,syncmark_alignment,19,0.5953947368421053,0.4046052631578947,0.0,0.0
mixed10,50,6,default,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.0
mixed10,50,6,loose_gap,syncmark_alignment,19,0.6151315789473685,0.3848684210526315,0.05263157894736842,0.10526315789473684
mixed10,50,6,loose_gap,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.0
mixed10,100,6,anchor_heavy,syncmark_alignment,19,0.5789473684210527,0.42105263157894735,0.0,0.05263157894736842
mixed10,100,6,anchor_heavy,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.0
mixed10,100,6,current,syncmark_alignment,19,0.5888157894736842,0.4111842105263158,0.0,0.0
mixed10,100,6,current,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.0
mixed10,100,6,default,syncmark_alignment,19,0.5921052631578947,0.4078947368421053,0.0,0.05263157894736842
mixed10,100,6,default,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.0
mixed10,100,6,loose_gap,syncmark_alignment,19,0.6019736842105263,0.3980263157894737,0.0,0.05263157894736842
mixed10,100,6,loose_gap,syncmark_position_vote,19,0.6118421052631579,0.38815789473684215,0.0,0.0
mixed10,150,6,anchor_heavy,syncmark_alignment,19,0.6019736842105263,0.3980263157894737,0.0,0.0
mixed10,150,6,anchor_heavy,syncmark_position_vote,19,0.5657894736842105,0.4342105263157895,0.0,0.0
mixed10,150,6,current,syncmark_alignment,19,0.5953947368421053,0.4046052631578947,0.0,0.10526315789473684
mixed10,150,6,current,syncmark_position_vote,19,0.5657894736842105,0.4342105263157895,0.0,0.0
