attack,length,anchor_len,weight_preset,n,position_hit_rate,alignment_hit_rate,hit_delta_alignment_minus_position,position_exact_rate,alignment_exact_rate,exact_delta_alignment_minus_position,alignment_crc_pass_rate
insert5,50,6,anchor_heavy,19,0.6118421052631579,0.5427631578947368,-0.06907894736842102,0.0,0.0,0.0,0.10526315789473684
insert5,50,6,current,19,0.6118421052631579,0.6019736842105263,-0.009868421052631526,0.0,0.0,0.0,0.05263157894736842
insert5,50,6,default,19,0.6118421052631579,0.6348684210526315,0.023026315789473673,0.0,0.0,0.0,0.10526315789473684
insert5,50,6,loose_gap,19,0.6118421052631579,0.6019736842105263,-0.009868421052631526,0.0,0.0,0.0,0.0
insert5,100,6,anchor_heavy,19,0.5789473684210527,0.5493421052631579,-0.0296052631578948,0.0,0.0,0.0,0.0
insert5,100,6,current,19,0.5789473684210527,0.5888157894736842,0.009868421052631526,0.0,0.0,0.0,0.0
insert5,100,6,default,19,0.5789473684210527,0.5592105263157895,-0.019736842105263164,0.0,0.0,0.0,0.0
insert5,100,6,loose_gap,19,0.5789473684210527,0.6348684210526315,0.05592105263157887,0.0,0.0,0.0,0.0
insert5,150,6,anchor_heavy,19,0.5460526315789473,0.5986842105263158,0.052631578947368474,0.0,0.0,0.0,0.10526315789473684
insert5,150,6,current,19,0.5460526315789473,0.5921052631578947,0.046052631578947345,0.0,0.0,0.0,0.10526315789473684
insert5,150,6,default,19,0.5460526315789473,0.6151315789473685,0.06907894736842113,0.0,0.05263157894736842,0.05263157894736842,0.15789473684210525
insert5,150,6,loose_gap,19,0.5460526315789473,0.6578947368421053,0.11184210526315796,0.0,0.0,0.0,0.05263157894736842
mixed10,50,6,anchor_heavy,19,0.6118421052631579,0.5657894736842105,-0.046052631578947345,0.0,0.0,0.0,0.05263157894736842
mixed10,50,6,current,19,0.6118421052631579,0.5592105263157895,-0.05263157894736836,0.0,0.05263157894736842,0.05263157894736842,0.0
mixed10,50,6,default,19,0.6118421052631579,0.5953947368421053,-0.016447368421052544,0.0,0.0,0.0,0.0
mixed10,50,6,loose_gap,19,0.6118421052631579,0.6151315789473685,0.00328947368421062,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684
mixed10,100,6,anchor_heavy,19,0.6118421052631579,0.5789473684210527,-0.0328947368421052,0.0,0.0,0.0,0.05263157894736842
mixed10,100,6,current,19,0.6118421052631579,0.5888157894736842,-0.023026315789473673,0.0,0.0,0.0,0.0
mixed10,100,6,default,19,0.6118421052631579,0.5921052631578947,-0.019736842105263164,0.0,0.0,0.0,0.05263157894736842
mixed10,100,6,loose_gap,19,0.6118421052631579,0.6019736842105263,-0.009868421052631526,0.0,0.0,0.0,0.05263157894736842
mixed10,150,6,anchor_heavy,19,0.5657894736842105,0.6019736842105263,0.03618421052631582,0.0,0.0,0.0,0.0
mixed10,150,6,current,19,0.5657894736842105,0.5953947368421053,0.0296052631578948,0.0,0.0,0.0,0.10526315789473684
mixed10,150,6,default,19,0.5657894736842105,0.569078947368421,0.003289473684210509,0.0,0.0,0.0,0.0
mixed10,150,6,loose_gap,19,0.5657894736842105,0.6151315789473685,0.049342105263157965,0.0,0.0,0.0,0.10526315789473684
